"","Province","Canton","Date first confirmed","Confirmed","Active","Deaths","Recovered"
"1","San José","San José","March 15, 2020",14243,4099,206,9938
"2","San José","Escazú","March 15, 2020",1321,144,21,1156
"3","San José","Desamparados","March 15, 2020",5715,3539,84,2092
"4","San José","Puriscal","March 27, 2020",405,104,6,295
"5","San José","Tarrazú","March 27, 2020",25,8,0,17
"6","San José","Aserrí","March 22, 2020",1083,636,6,441
"7","San José","Mora","March 27, 2020",496,129,8,359
"8","San José","Goicoechea","March 18, 2020",2587,953,41,1593
"9","San José","Santa Ana","March 15, 2020",1341,347,13,981
"10","San José","Alajuelita","March 28, 2020",3694,2231,43,1420
"11","San José","Vázquez de Coronado","March 20, 2020",1168,389,15,764
"12","San José","Acosta","June 17, 2020",457,183,2,272
"13","San José","Tibás","March 15, 2020",1877,1045,37,795
"14","San José","Moravia","March 18, 2020",802,239,11,552
"15","San José","Montes de Oca","March 20, 2020",816,354,10,452
"16","San José","Turrubares","March 28, 2020",45,19,0,26
"17","San José","Dota","August 12, 2020",9,2,0,7
"18","San José","Curridabat","March 17, 2020",1942,736,28,1178
"19","San José","Pérez Zeledón","March 15, 2020",283,177,1,105
"20","San José","León Cortés Castro","July 10, 2020",41,6,0,35
"21","Alajuela","Alajuela","March 15, 2020",5575,3627,59,1889
"22","Alajuela","San Ramón","March 27, 2020",821,356,6,459
"23","Alajuela","Grecia","March 15, 2020",710,441,13,256
"24","Alajuela","San Mateo","June 2, 2020",22,11,0,11
"25","Alajuela","Atenas","March 16, 2020",300,162,3,135
"26","Alajuela","Naranjo","March 28, 2020",634,360,5,269
"27","Alajuela","Palmares","March 23, 2020",400,190,3,207
"28","Alajuela","Poás","March 15, 2020",402,111,2,289
"29","Alajuela","Orotina","March 25, 2020",166,54,1,111
"30","Alajuela","San Carlos","March 20, 2020",2508,1202,14,1292
"31","Alajuela","Zarcero","May 28, 2020",194,159,0,35
"32","Alajuela","Sarchí","March 26, 2020",122,70,0,52
"33","Alajuela","Upala","May 10, 2020",269,79,3,187
"34","Alajuela","Los Chiles","May 22, 2020",348,51,6,291
"35","Alajuela","Guatuso","June 3, 2020",212,54,2,156
"36","Alajuela","Río Cuarto","June 16, 2020",316,284,0,32
"37","Cartago","Cartago","March 17, 2020",1206,549,12,645
"38","Cartago","Paraíso","April 4, 2020",313,70,6,237
"39","Cartago","La Unión","March 15, 2020",1987,986,25,976
"40","Cartago","Jiménez","March 24, 2020",77,33,0,44
"41","Cartago","Turrialba","April 7, 2020",224,86,4,134
"42","Cartago","Alvarado","March 25, 2020",64,19,1,44
"43","Cartago","Oreamuno","March 26, 2020",535,218,4,313
"44","Cartago","El Guarco","March 26, 2020",393,250,3,140
"45","Heredia","Heredia","March 15, 2020",3398,1747,52,1599
"46","Heredia","Barva","March 15, 2020",731,285,9,437
"47","Heredia","Santo Domingo","March 18, 2020",975,599,8,368
"48","Heredia","Santa Bárbara","March 18, 2020",539,279,0,260
"49","Heredia","San Rafael","March 21, 2020",926,384,10,532
"50","Heredia","San Isidro","March 30, 2020",441,243,7,191
"51","Heredia","Belén","March 15, 2020",436,256,1,179
"52","Heredia","Flores","March 18, 2020",409,249,1,159
"53","Heredia","San Pablo","March 15, 2020",513,228,6,279
"54","Heredia","Sarapiquí","May 22, 2020",373,193,2,178
"55","Guanacaste","Liberia","March 24, 2020",499,372,2,125
"56","Guanacaste","Nicoya","March 15, 2020",466,191,8,267
"57","Guanacaste","Santa Cruz","March 15, 2020",274,121,2,151
"58","Guanacaste","Bagaces","April 30, 2020",99,16,1,82
"59","Guanacaste","Carrillo","March 27, 2020",138,48,3,87
"60","Guanacaste","Cañas","May 8, 2020",212,48,0,164
"61","Guanacaste","Abangares","April 28, 2020",119,53,0,66
"62","Guanacaste","Tilarán","March 26, 2020",67,17,1,49
"63","Guanacaste","Nandayure","June 14, 2020",28,8,3,17
"64","Guanacaste","La Cruz","May 4, 2020",176,25,1,150
"65","Guanacaste","Hojancha","April 3, 2020",71,31,1,39
"66","Puntarenas","Puntarenas","March 25, 2020",1529,1006,11,512
"67","Puntarenas","Esparza","April 1, 2020",362,167,4,191
"68","Puntarenas","Buenos Aires","June 25, 2020",169,140,3,26
"69","Puntarenas","Montes de Oro","March 24, 2020",196,96,1,99
"70","Puntarenas","Osa","March 29, 2020",238,170,13,55
"71","Puntarenas","Quepos","May 10, 2020",284,110,6,168
"72","Puntarenas","Golfito","May 1, 2020",297,182,1,114
"73","Puntarenas","Coto Brus","March 22, 2020",117,93,3,21
"74","Puntarenas","Parrita","June 23, 2020",110,24,1,85
"75","Puntarenas","Corredores","May 9, 2020",943,450,6,487
"76","Puntarenas","Garabito","March 25, 2020",317,170,6,141
"77","Limón","Limón","March 19, 2020",1594,955,12,627
"78","Limón","Pococí","April 11, 2020",1148,771,10,367
"79","Limón","Siquirres","April 9, 2020",755,288,6,461
"80","Limón","Talamanca","May 7, 2020",506,433,5,68
"81","Limón","Matina","June 14, 2020",317,275,3,39
"82","Limón","Guácimo","May 14, 2020",415,212,4,199
